category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
10,August,6am - 12pm,Tuesday,1050,23,14,55,Hyper Popular
24,August,12pm - 6pm,Tuesday,513,30,5,53,Hyper Popular
20,August,12pm - 6pm,Tuesday,715,25,6,60,Hyper Popular
22,August,6pm - 12am,Tuesday,361,15,25,34,Highly Popular
26,August,12pm - 6pm,Tuesday,2493,33,11,55,Highly Popular
27,August,12pm - 6pm,Tuesday,1236,3,9,18,Highly Popular
17,August,12am - 6am,Wednesday,411,19,7,48,Very Popular
17,August,12pm - 6pm,Tuesday,791,7,19,40,Highly Popular
22,August,6pm - 12am,Tuesday,469,1,0,34,Very Popular
24,August,6pm - 12am,Tuesday,1218,39,4,25,Hyper Popular
24,August,6pm - 12am,Tuesday,1389,6,16,56,Very Popular
10,August,12pm - 6pm,Tuesday,762,23,8,56,Popular
24,August,6am - 12pm,Tuesday,521,1,40,58,Highly Popular
10,August,12pm - 6pm,Tuesday,301,47,14,25,Hyper Popular
26,August,12pm - 6pm,Tuesday,1503,8,2,14,Highly Popular
22,August,12pm - 6pm,Tuesday,1098,5,5,30,Very Popular
2,August,6pm - 12am,Tuesday,193,19,14,34,Popular
22,August,6pm - 12am,Tuesday,2014,42,4,23,Popular
20,August,12pm - 6pm,Tuesday,2446,24,11,72,Popular
25,August,6pm - 12am,Monday,858,16,6,99,Very Popular
28,August,12pm - 6pm,Sunday,1513,6,7,45,Hyper Popular
17,August,12am - 6am,Wednesday,1039,11,12,71,Popular
10,August,6pm - 12am,Tuesday,848,5,10,48,Hyper Popular
1,August,12pm - 6pm,Tuesday,796,20,6,44,Very Popular
24,August,12pm - 6pm,Tuesday,276,34,5,30,Popular
10,August,6am - 12pm,Tuesday,524,13,9,48,Hyper Popular
24,August,6pm - 12am,Monday,1068,9,10,49,Highly Popular
27,August,6pm - 12am,Tuesday,1041,43,34,44,Popular
1,August,6pm - 12am,Monday,418,28,2,18,Highly Popular
24,August,12pm - 6pm,Monday,558,16,18,47,Hyper Popular
22,August,6pm - 12am,Tuesday,295,1,25,37,Popular
22,August,6pm - 12am,Tuesday,498,18,6,36,Popular
23,August,6pm - 12am,Monday,1567,24,8,57,Very Popular
27,August,12pm - 6pm,Tuesday,486,36,6,45,Very Popular
22,August,6pm - 12am,Tuesday,826,11,12,16,Hyper Popular
23,August,12pm - 6pm,Tuesday,1125,17,7,52,Popular
24,August,12pm - 6pm,Tuesday,1056,28,21,38,Popular
22,August,6pm - 12am,Monday,371,5,1,15,Very Popular
28,August,12pm - 6pm,Tuesday,179,15,4,34,Very Popular
24,August,12pm - 6pm,Monday,729,37,22,69,Highly Popular
25,August,12pm - 6pm,Monday,1830,26,1,34,Highly Popular
17,August,12am - 6am,Wednesday,75,14,11,75,Popular
17,August,6am - 12pm,Monday,231,6,11,40,Popular
24,August,6pm - 12am,Saturday,526,1,8,45,Hyper Popular
10,August,6pm - 12am,Tuesday,4710,34,5,50,Popular
10,August,12pm - 6pm,Monday,3735,24,10,51,Highly Popular
17,August,12am - 6am,Wednesday,756,29,40,67,Very Popular
26,August,6pm - 12am,Sunday,877,15,13,51,Hyper Popular
22,August,6pm - 12am,Tuesday,104,1,10,58,Popular
10,August,12pm - 6pm,Monday,1522,22,12,47,Very Popular
17,August,12am - 6am,Wednesday,61,3,10,65,Popular
1,August,12pm - 6pm,Monday,373,14,7,57,Highly Popular
24,August,12am - 6am,Tuesday,3,1,0,15,Popular
28,August,6pm - 12am,Tuesday,689,18,8,25,Popular
17,August,12pm - 6pm,Monday,1191,21,5,82,Popular
26,August,6am - 12pm,Tuesday,845,25,3,16,Popular
25,August,12am - 6am,Tuesday,227,7,2,82,Popular
17,August,12pm - 6pm,Tuesday,2104,42,18,100,Very Popular
24,August,6am - 12pm,Sunday,2258,28,6,18,Hyper Popular
17,August,6pm - 12am,Tuesday,935,18,7,41,Very Popular
17,August,12am - 6am,Tuesday,691,25,31,57,Popular
