category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
24,August,12pm - 6pm,Tuesday,513,30,5,53,Hyper Popular
27,August,6pm - 12am,Tuesday,1041,43,34,44,Popular
20,August,12pm - 6pm,Tuesday,715,25,6,60,Hyper Popular
24,August,6pm - 12am,Monday,346,19,4,30,Very Popular
22,August,6pm - 12am,Tuesday,469,1,0,34,Very Popular
27,August,12pm - 6pm,Tuesday,1236,3,9,18,Highly Popular
10,August,6am - 12pm,Tuesday,540,1,15,97,Hyper Popular
22,August,6pm - 12am,Tuesday,361,15,25,34,Highly Popular
24,August,6am - 12pm,Wednesday,1463,1,7,52,Popular
26,August,12pm - 6pm,Tuesday,2493,33,11,55,Highly Popular
17,August,12pm - 6pm,Tuesday,919,37,6,73,Popular
17,August,6am - 12pm,Wednesday,2830,31,3,27,Popular
20,August,12pm - 6pm,Monday,946,4,9,43,Very Popular
20,August,12pm - 6pm,Monday,844,27,5,25,Highly Popular
25,August,12am - 6am,Wednesday,309,12,6,90,Popular
23,August,12pm - 6pm,Tuesday,435,21,12,71,Popular
10,August,6am - 12pm,Tuesday,1050,23,14,55,Hyper Popular
17,August,12pm - 6pm,Tuesday,199,6,41,63,Popular
20,August,6am - 12pm,Wednesday,194,1,6,26,Popular
10,August,12pm - 6pm,Tuesday,1079,23,26,43,Very Popular
10,August,12pm - 6pm,Tuesday,301,47,14,25,Hyper Popular
17,August,6am - 12pm,Wednesday,780,13,9,55,Popular
17,August,6am - 12pm,Wednesday,211,1,4,31,Popular
17,August,6pm - 12am,Tuesday,720,22,30,45,Popular
17,August,12am - 6am,Wednesday,411,19,7,48,Very Popular
17,August,6pm - 12am,Tuesday,467,9,9,54,Popular
10,August,6pm - 12am,Tuesday,848,5,10,48,Hyper Popular
20,August,12pm - 6pm,Tuesday,2446,24,11,72,Popular
10,August,6pm - 12am,Tuesday,3004,25,19,38,Popular
24,August,6pm - 12am,Tuesday,1218,39,4,25,Hyper Popular
23,August,12pm - 6pm,Tuesday,180,38,11,62,Popular
10,August,12pm - 6pm,Tuesday,762,23,8,56,Popular
17,August,12pm - 6pm,Tuesday,2426,6,19,100,Popular
24,August,6pm - 12am,Monday,1794,27,47,60,Very Popular
24,August,6am - 12pm,Wednesday,1838,1,9,55,Popular
24,August,6pm - 12am,Tuesday,1389,6,16,56,Very Popular
17,August,6pm - 12am,Tuesday,448,9,10,62,Popular
10,August,6am - 12pm,Wednesday,421,1,9,50,Popular
22,August,12pm - 6pm,Tuesday,440,9,4,40,Popular
17,August,6pm - 12am,Tuesday,935,18,7,41,Very Popular
10,August,6pm - 12am,Tuesday,1086,1,0,34,Popular
17,August,12am - 6am,Wednesday,1007,10,11,86,Popular
24,August,6pm - 12am,Monday,1068,9,10,49,Highly Popular
17,August,6pm - 12am,Tuesday,247,20,11,85,Popular
10,August,6am - 12pm,Tuesday,524,13,9,48,Hyper Popular
1,August,12pm - 6pm,Tuesday,796,20,6,44,Very Popular
23,August,12pm - 6pm,Tuesday,1125,17,7,52,Popular
28,August,12pm - 6pm,Tuesday,179,15,4,34,Very Popular
24,August,12pm - 6pm,Monday,1062,33,15,67,Popular
17,August,6pm - 12am,Monday,430,11,7,83,Very Popular
28,August,12pm - 6pm,Sunday,1513,6,7,45,Hyper Popular
1,August,6pm - 12am,Monday,418,28,2,18,Highly Popular
10,August,12pm - 6pm,Tuesday,2796,13,9,48,Popular
10,August,6am - 12pm,Wednesday,689,31,8,39,Popular
26,August,12pm - 6pm,Tuesday,1566,28,17,66,Popular
22,August,6pm - 12am,Monday,679,27,4,29,Popular
10,August,12pm - 6pm,Monday,4459,4,7,43,Very Popular
26,August,6pm - 12am,Sunday,877,15,13,51,Hyper Popular
10,August,6pm - 12am,Sunday,1968,9,10,19,Very Popular
23,August,12am - 6am,Tuesday,1333,28,8,52,Popular
24,August,12pm - 6pm,Tuesday,641,19,6,51,Highly Popular
24,August,6pm - 12am,Saturday,526,1,8,45,Hyper Popular
26,August,6am - 12pm,Tuesday,845,25,3,16,Popular
23,August,12pm - 6pm,Monday,74,9,5,41,Very Popular
24,August,12pm - 6pm,Monday,729,37,22,69,Highly Popular
24,August,6pm - 12am,Sunday,539,1,7,9,Highly Popular
28,August,6pm - 12am,Monday,761,21,11,61,Popular
24,August,6am - 12pm,Tuesday,1328,20,8,43,Popular
24,August,12pm - 6pm,Sunday,2004,13,42,62,Popular
24,August,6pm - 12am,Sunday,348,12,23,48,Popular
10,August,12pm - 6pm,Monday,1522,22,12,47,Very Popular
25,August,12pm - 6pm,Monday,1830,26,1,34,Highly Popular
25,August,6pm - 12am,Monday,858,16,6,99,Very Popular
23,August,12pm - 6pm,Monday,335,5,0,23,Very Popular
17,August,6pm - 12am,Monday,585,37,35,72,Popular
1,August,12pm - 6pm,Monday,373,14,7,57,Highly Popular
17,August,6pm - 12am,Sunday,1121,28,10,84,Popular
24,August,12pm - 6pm,Monday,242,15,8,60,Popular
24,August,12pm - 6pm,Monday,1021,15,9,72,Popular
25,August,12am - 6am,Tuesday,395,17,6,52,Popular
27,August,12pm - 6pm,Monday,768,5,11,52,Very Popular
17,August,12am - 6am,Tuesday,1404,29,6,47,Highly Popular
25,August,6pm - 12am,Monday,3759,15,5,81,Popular
19,August,6pm - 12am,Monday,2492,1,5,23,Very Popular
10,August,12pm - 6pm,Monday,3735,24,10,51,Highly Popular
24,August,12pm - 6pm,Monday,1625,26,8,54,Popular
23,August,12pm - 6pm,Sunday,1097,16,9,52,Hyper Popular
23,August,6pm - 12am,Sunday,2051,36,19,58,Highly Popular
27,August,6pm - 12am,Monday,295,4,3,29,Highly Popular
17,August,12am - 6am,Monday,531,3,11,81,Popular
17,August,12am - 6am,Tuesday,1392,29,8,86,Hyper Popular
24,August,6pm - 12am,Saturday,833,9,43,51,Hyper Popular
24,August,12pm - 6pm,Monday,149,4,16,21,Popular
24,August,6pm - 12am,Sunday,1587,7,22,25,Hyper Popular
23,August,6am - 12pm,Monday,797,12,1,20,Popular
23,August,12pm - 6pm,Monday,1653,15,4,21,Very Popular
24,August,12am - 6am,Tuesday,6,1,0,4,Popular
10,August,12pm - 6pm,Monday,351,5,7,47,Popular
10,August,12pm - 6pm,Monday,534,10,8,55,Highly Popular
17,August,12am - 6am,Tuesday,1383,27,6,80,Very Popular
17,August,6pm - 12am,Monday,769,1,7,51,Popular
23,August,12pm - 6pm,Saturday,1203,22,4,30,Hyper Popular
24,August,12pm - 6pm,Sunday,816,27,10,69,Popular
25,August,6pm - 12am,Monday,375,11,5,67,Popular
24,August,12pm - 6pm,Sunday,581,33,31,46,Popular
23,August,12pm - 6pm,Sunday,440,24,6,35,Highly Popular
17,August,12am - 6am,Monday,439,3,10,66,Popular
24,August,6pm - 12am,Saturday,623,25,31,60,Hyper Popular
17,August,6pm - 12am,Sunday,975,28,7,31,Highly Popular
10,August,12pm - 6pm,Monday,1883,1,10,61,Popular
22,August,12pm - 6pm,Sunday,216,23,30,38,Highly Popular
25,August,12pm - 6pm,Monday,57,2,1,33,Popular
24,August,12pm - 6pm,Sunday,1019,19,7,62,Popular
10,August,12am - 6am,Friday,1275,33,11,62,Hyper Popular
23,August,12pm - 6pm,Sunday,1278,40,4,28,Highly Popular
23,August,6pm - 12am,Monday,633,13,31,54,Highly Popular
19,August,12pm - 6pm,Sunday,1439,12,9,24,Popular
23,August,6pm - 12am,Sunday,1036,17,38,65,Popular
22,August,6pm - 12am,Saturday,545,9,23,27,Highly Popular
20,August,6pm - 12am,Sunday,362,12,33,53,Popular
17,August,6am - 12pm,Sunday,2983,46,16,79,Popular
17,August,6am - 12pm,Monday,2796,34,3,29,Popular
17,August,6pm - 12am,Sunday,1080,29,11,96,Popular
24,August,12pm - 6pm,Sunday,197,8,10,45,Popular
17,August,12pm - 6pm,Sunday,325,17,5,44,Hyper Popular
20,August,6pm - 12am,Saturday,1407,22,6,44,Hyper Popular
24,August,12am - 6am,Tuesday,800,15,29,64,Popular
26,August,6am - 12pm,Sunday,657,13,12,70,Popular
17,August,6pm - 12am,Saturday,669,25,17,100,Hyper Popular
25,August,12am - 6am,Saturday,1128,13,2,60,Hyper Popular
24,August,12am - 6am,Monday,866,14,20,47,Highly Popular
20,August,12am - 6am,Sunday,337,1,6,27,Hyper Popular
26,August,12pm - 6pm,Sunday,4921,23,5,31,Popular
2,August,12pm - 6pm,Sunday,962,15,2,33,Highly Popular
17,August,12pm - 6pm,Sunday,940,23,17,29,Popular
19,August,12pm - 6pm,Sunday,349,11,13,25,Popular
25,August,12pm - 6pm,Friday,847,8,2,54,Hyper Popular
2,August,12pm - 6pm,Sunday,509,29,7,47,Popular
17,August,6pm - 12am,Saturday,636,18,8,96,Popular
22,August,6am - 12pm,Sunday,1816,8,0,24,Popular
17,August,12pm - 6pm,Sunday,749,28,4,87,Very Popular
23,August,6am - 12pm,Tuesday,1314,32,7,43,Popular
24,August,6pm - 12am,Saturday,702,1,25,28,Highly Popular
24,August,6am - 12pm,Sunday,437,45,15,34,Hyper Popular
24,August,12am - 6am,Monday,860,1,31,81,Popular
24,August,6am - 12pm,Monday,592,24,6,30,Hyper Popular
